#HalfBakedOne Ship Names List       Version 1.00        Feb 22 2026        GREAT GAME,,,,,,,,,,
#Huge shoutout to Discord user MDHansen for their help debugging this file!,,,,,,,,,,
#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
217,,Huszar,austria,dd,,,,,,
218,,Pandur,austria,dd,,,,,,
219,,Reka,austria,dd,,,,,,
220,,Scharfschütze,austria,dd,,,,,,
221,,Streiter,austria,dd,,,,,,
222,,Turul,austria,dd,,,,,,
223,,Ulan,austria,dd,,,,,,
224,,Uskoke,austria,dd,,,,,,
225,,Velebit,austria,dd,,,,,,
226,,Warasdiner,austria,dd,,,,,,
227,,Wildfang,austria,dd,,,,,,
228,,Balaton,austria,dd,,,,,,
229,,Csepel,austria,dd,,,,,,
230,,Lika,austria,dd,,,,,,
231,,Orjen,austria,dd,,,,,,
232,,Tátra,austria,dd,,,,,,
233,,Triglav,austria,dd,,,,,,
234,,Dukla,austria,dd,,,,,,
235,,Uzsok,austria,dd,,,,,,
236,,Python,austria,tb,,,,,,
237,,Kigyo,austria,tb,,,,,,
238,,Boa,austria,tb,,,,,,
239,,Cobra,austria,tb,,,,,,
240,,Kaiman,austria,tb,,,,,,
241,,Anaconda,austria,tb,,,,,,
242,,Alligator,austria,tb,,,,,,
243,,Krokodil,austria,tb,,,,,,
244,,Wal,austria,tb,,,,,,
245,,Seehund,austria,tb,,,,,,
246,,Delphin,austria,tb,,,,,,
247,,Narwal,austria,tb,,,,,,
248,,Hai,austria,tb,,,,,,
249,,Möwe,austria,tb,,,,,,
250,,Schwalbe,austria,tb,,,,,,
251,,Pinguin,austria,tb,,,,,,
252,,Drache,austria,tb,,,,,,
253,,Greif,austria,tb,,,,,,
254,,Triton,austria,tb,,,,,,
255,,Hydra,austria,tb,,,,,,
256,,Skorpion,austria,tb,,,,,,
257,,Phönix,austria,tb,,,,,,
258,,Krake,austria,tb,,,,,,
259,,Polyp,austria,tb,,,,,,
260,,Echse,austria,tb,,,,,,
261,,Molch,austria,tb,,,,,,
262,,Kormoran,austria,tb,,,,,,
263,,Alk,austria,tb,,,,,,
##,,,###,,,,,,,
265,,Royal Sovereign,britain,bb,,,,,,
266,,Empress of India,britain,bb,,,,,,
267,,Repulse,britain,bb,,,,,,
268,,Ramillies,britain,bb,,,,,,
269,,Resolution,britain,bb,,,,,,
270,,Revenge,britain,bb,,,,,,
271,,Redoubtable,britain,bb,,,,,,
272,,Royal Oak,britain,bb,,,,,,
273,,Hood,britain,bb,,,,,,
274,,Centurion,britain,bb,,,,,,
275,,Barfleur,britain,bb,,,,,,
276,,Renown,britain,bb,,,,,,
277,,Magnificent,britain,bb,,,,,,
278,,Majestic,britain,bb,,,,,,
279,,Prince George,britain,bb,,,,,,
280,,Victorious,britain,bb,,,,,,
281,,Jupiter,britain,bb,,,,,,
282,,Mars,britain,bb,,,,,,
283,,Hannibal,britain,bb,,,,,,
284,,Caesar,britain,bb,,,,,,
285,,Illustrious,britain,bb,,,,,,
286,,Canopus,britain,bb,,,,,,
287,,Goliath,britain,bb,,,,,,
288,,Albion,britain,bb,,,,,,
289,,Ocean,britain,bb,,,,,,
290,,Glory,britain,bb,,,,,,
291,,Vengeance,britain,bb,,,,,,
292,,Formidable,britain,bb,,,,,,
293,,Irresistible,britain,bb,,,,,,
294,,Implacable,britain,bb,,,,,,
295,,London,britain,bb,,,,,,
296,,Bulwark,britain,bb,,,,,,
297,,Venerable,britain,bb,,,,,,
298,,Queen,britain,bb,,,,,,
299,,Prince of Wales,britain,bb,,,,,,
300,,Russell,britain,bb,,,,,,
301,,Albemarle,britain,bb,,,,,,
302,,Montagu,britain,bb,,,,,,
303,,Duncan,britain,bb,,,,,,
304,,Cornwallis,britain,bb,,,,,,
305,,Exmouth,britain,bb,,,,,,
306,,King Edward VII,britain,bb,,,,,,
307,,Commonwealth,britain,bb,,,,,,
308,,Dominion,britain,bb,,,,,,
309,,Hindustan,britain,bb,,,,,,
310,,New Zealand,britain,bb,,,,,,
311,,Zealandia,britain,bb,,,,,,
312,,Britannia,britain,bb,,,,,,
313,,Africa,britain,bb,,,,,,
314,,Hibernia,britain,bb,,,,,,
315,,Swiftsure,britain,bb,,,,,,
316,,Triumph,britain,bb,,,,,,
317,,Lord Nelson,britain,bb,,,,,,
318,,Agamemnon,britain,bb,,,,,,
319,,Dreadnought,britain,bb,,,,,,
320,,Bellerophon,britain,bb,,,,,,
321,,Superb,britain,bb,,,,,,
322,,Temeraire,britain,bb,,,,,,
323,,St. Vincent,britain,bb,,,,,,
324,,Collingwood,britain,bb,,,,,,
325,,Vanguard,britain,bb,,,,,,
326,,Neptune,britain,bb,,,,,,
327,,Colossus,britain,bb,,,,,,
328,,Hercules,britain,bb,,,,,,
329,,Orion,britain,bb,,,,,,
330,,Monarch,britain,bb,,,,,,
331,,Conqueror,britain,bb,,,,,,
332,,Thunderer,britain,bb,,,,,,
333,,King George V,britain,bb,,,,,,
334,,Audacious,britain,bb,,,,,,
335,,Ajax,britain,bb,,,,,,
336,,Iron Duke,britain,bb,,,,,,
337,,Marlborough,britain,bb,,,,,,
338,,Benbow,britain,bb,,,,,,
339,,Emperor of India,britain,bb,,,,,,
340,,Agincourt,britain,bb,,,,,,
341,,Erin,britain,bb,,,,,,
342,,Canada,britain,bb,,,,,,
343,,Eagle,britain,bb,,,,,,
344,,Queen Elizabeth,britain,bb,,,,,,
345,,Warspite,britain,bb,,,,,,
346,,Barham,britain,bb,,,,,,
347,,Valiant,britain,bb,,,,,,
348,,Malaya,britain,bb,,,,,,
349,,Nelson,britain,bb,,,,,,
350,,Rodney,britain,bb,,,,,,
351,,Duke of York,britain,bb,,,,,,
352,,Anson,britain,bb,,,,,,
353,,Howe,britain,bb,,,,,,
354,,Lion,britain,bb,,,,,,
355,,Munro,britain,bb,,,,,,
358,,Rocket,britain,bc,,,,,,
359,,Slayed Duke,britain,bb,,,,,,
356,,MD Hansen,britain,bb,,,,,,
357,,Sepharin,britain,bb,,,,,,
360,,Hajas,britain,bb,,,,,,
8493,,Yumasai,britain,bb,,,,,,
8494,,Pronto,britain,bb,,,,,,
361,,Invincible,britain,bb,,,,,,
362,,Inflexible,britain,bc,,,,,,
363,,Indomitable,britain,bc,,,,,,
364,,Indefatigable,britain,bc,,,,,,
365,,New Zealand,britain,bc,,,,,,
366,,Lion,britain,bc,,,,,,
367,,Princess Royal,britain,bc,,,,,,
368,,Queen Mary,britain,bc,,,,,,
369,,Tiger,britain,bc,,,,,,
370,,Renown,britain,bc,,,,,,
371,,Repulse,britain,bc,,,,,,
372,,Courageous,britain,bc,,,,,,
373,,Glorious,britain,bc,,,,,,
374,,Furious,britain,bc,,,,,,
375,,Incomparable,britain,bc,,,,,,
376,,Hood,britain,bc,,,,,,
377,,Anson,britain,bc,,,,,,
378,,Howe,britain,bc,,,,,,
379,,Rodney,britain,bc,,,,,,
380,,Warrior,britain,bc,,,,,,
381,,Black Prince,britain,bc,,,,,,
382,,Defence,britain,bc,,,,,,
383,,Resistance,britain,bc,,,,,,
384,,Hector,britain,bc,,,,,,
385,,Valiant,britain,bc,,,,,,
386,,Achilles,britain,bc,,,,,,
387,,Minotaur,britain,bc,,,,,,
388,,Agincourt,britain,bc,,,,,,
389,,Northumberland,britain,bc,,,,,,
390,,Prince Consort,britain,bc,,,,,,
391,,Caledonia,britain,bc,,,,,,
392,,Ocean,britain,bc,,,,,,
393,,Royal Oak,britain,bc,,,,,,
394,,Royal Alfred,britain,bc,,,,,,
395,,Enterprise,britain,bc,,,,,,
396,,Favorite,britain,bc,,,,,,
397,,Zealous,britain,bc,,,,,,
398,,Lord Clyde,britain,bc,,,,,,
399,,Lord Warden,britain,bc,,,,,,
400,,Pallas,britain,bc,,,,,,
401,,Bellerophon,britain,bc,,,,,,
402,,Penelope,britain,bc,,,,,,
403,,Hercules,britain,bc,,,,,,
404,,Monarch,britain,bc,,,,,,
405,,Audacious,britain,bc,,,,,,
406,,Devastation,britain,bc,,,,,,
407,,Thunderer,britain,bc,,,,,,
408,,Superb,britain,bc,,,,,,
409,,Trafalgar,britain,bc,,,,,,
410,,Colossus,britain,bc,,,,,,
411,,Shannon,britain,ca,,,,,,
412,,Nelson,britain,ca,,,,,,
413,,Imperieuse,britain,ca,,,,,,
414,,Warspite,britain,ca,,,,,,
415,,Orlando,britain,ca,,,,,,
416,,Australia,britain,ca,,,,,,
417,,Undaunted,britain,ca,,,,,,
418,,Narcissus,britain,ca,,,,,,
419,,Galatea,britain,ca,,,,,,
420,,Immortalite,britain,ca,,,,,,
421,,Aurora,britain,ca,,,,,,
422,,Blake,britain,ca,,,,,,
423,,Blenheim,britain,ca,,,,,,
424,,Edgar,britain,ca,,,,,,
425,,Hawke,britain,ca,,,,,,
426,,Endymion,britain,ca,,,,,,
427,,Royal Arthur,britain,ca,,,,,,
428,,Gibraltar,britain,ca,,,,,,
429,,Grafton,britain,ca,,,,,,
430,,St George,britain,ca,,,,,,
431,,Theseus,britain,ca,,,,,,
432,,Crescent,britain,ca,,,,,,
433,,Powerful,britain,ca,,,,,,
434,,Terrible,britain,ca,,,,,,
435,,Diadem,britain,ca,,,,,,
436,,Niobe,britain,ca,,,,,,
437,,Europa,britain,ca,,,,,,
438,,Andromeda,britain,ca,,,,,,
439,,Amphitrite,britain,ca,,,,,,
440,,Argonaut,britain,ca,,,,,,
441,,Ariadne,britain,ca,,,,,,
442,,Spartiate,britain,ca,,,,,,
443,,Cressy,britain,ca,,,,,,
444,,Sutlej,britain,ca,,,,,,
445,,Aboukir,britain,ca,,,,,,
446,,Hogue,britain,ca,,,,,,
447,,Bacchante,britain,ca,,,,,,
448,,Euryalus,britain,ca,,,,,,
449,,Drake,britain,ca,,,,,,
450,,Good Hope,britain,ca,,,,,,
451,,King Alfred,britain,ca,,,,,,
452,,Leviathan,britain,ca,,,,,,
453,,Monmouth,britain,ca,,,,,,
454,,Bedford,britain,ca,,,,,,
455,,Essex,britain,ca,,,,,,
456,,Kent,britain,ca,,,,,,
457,,Berwick,britain,ca,,,,,,
458,,Cornwall,britain,ca,,,,,,
459,,Cumberland,britain,ca,,,,,,
460,,Donegal,britain,ca,,,,,,
461,,Lancaster,britain,ca,,,,,,
462,,Suffolk,britain,ca,,,,,,
463,,Devonshire,britain,ca,,,,,,
464,,Hampshire,britain,ca,,,,,,
465,,Carnarvon,britain,ca,,,,,,
466,,Antrim,britain,ca,,,,,,
467,,Roxburgh,britain,ca,,,,,,
468,,Argyll,britain,ca,,,,,,
469,,Duke of Edinburgh,britain,ca,,,,,,
470,,Black Prince,britain,ca,,,,,,
471,,Warrior,britain,ca,,,,,,
472,,Cochrane,britain,ca,,,,,,
473,,Achilles,britain,ca,,,,,,
474,,Natal,britain,ca,,,,,,
475,,Minotaur,britain,ca,,,,,,
476,,Iris,britain,cl,,,,,,
477,,Mercury,britain,cl,,,,,,
478,,Comus,britain,cl,,,,,,
479,,Curacoa,britain,cl,,,,,,
480,,Champion,britain,cl,,,,,,
481,,Cleopatra,britain,cl,,,,,,
482,,Carysfort,britain,cl,,,,,,
483,,Conquest,britain,cl,,,,,,
484,,Constance,britain,cl,,,,,,
485,,Canada,britain,cl,,,,,,
486,,Cordelia,britain,cl,,,,,,
487,,Leander,britain,cl,,,,,,
488,,Arethusa,britain,cl,,,,,,
489,,Phaeton,britain,cl,,,,,,
490,,Amphion,britain,cl,,,,,,
491,,Calypso,britain,cl,,,,,,
492,,Calliope,britain,cl,,,,,,
493,,Surprise,britain,cl,,,,,,
494,,Alacrity,britain,cl,,,,,,
495,,Mersey,britain,cl,,,,,,
496,,Severn,britain,cl,,,,,,
497,,Thames,britain,cl,,,,,,
498,,Forth,britain,cl,,,,,,
499,,Scout,britain,cl,,,,,,
500,,Fearless,britain,cl,,,,,,
501,,Archer,britain,cl,,,,,,
502,,Mohawk,britain,cl,,,,,,
503,,Brisk,britain,cl,,,,,,
504,,Porpoise,britain,cl,,,,,,
505,,Cossack,britain,cl,,,,,,
506,,Tartar,britain,cl,,,,,,
507,,Serpent,britain,cl,,,,,,
