#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
gun_5_x1,,127,gun_5_x1,,,brandenburg_gun_76_x1,0.95,1.13,0.85,1.36,jap_tb_gun_76_x1,2,2.35,0.85,0.98,dido_gun_cal133_x1,0.75,0.89,1.25,1.82,dido_gun_cal133_x1,0.75,0.89,1.25,1.82,atl_gun_125_x1,1,1.12,1.25,1.04,,,,,,,,,,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,maine_gun_152_x2,1.008,1.15,0.95,1.01,maine_gun_230_x2,0.68,0.77,0.95,1.1,dido_gun_cal133_x2,0.75,0.89,0.95,1.82,dido_gun_cal133_x2,0.75,0.89,0.95,1.82,atl_gun_125_x2,1,1.12,0.95,1.04,,,,,,,,,,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,maine_gun_152_x3,1.008,1.15,0.75,1.01,maine_gun_230_x3,0.68,0.77,0.75,1.1,dido_gun_cal133_x3,0.75,0.89,0.75,1.82,dido_gun_cal133_x3,0.75,0.89,0.75,1.82,atl_gun_125_x3,1,1.12,0.75,1.04,,,,,,,,,,,,,,,,,,,
gun_5_x4,,127,gun_5_x4,,,didox_gun_cal133_x4,0.75,0.89,0.68,1.82,didox_gun_cal133_x4,0.75,0.89,0.68,1.82,dido_gun_cal133_x4,0.766,0.88,0.68,1.6,dido_gun_cal133_x4,0.766,0.88,0.68,1.6,atl_gun_125_x4,1,1.12,0.68,1.04,,,,,,,,,,,,,,,,,,,
gun_6_x1,,152,gun_6_x1,,,tsesarevich_gun_152_x1,1.050,1.22,1.185,1.2,agamemnon_gun_b_228_x1,0.9,1.04,1.185,1.38,dido_gun_cal133_x1,0.9,1.04,1.185,1.72,dido_gun_cal133_x1,0.9,1.04,1.185,1.72,yamato_gun_155_x1,0.81,0.94,1.185,1.92,,,,,,,,,,,,,,,,,,,
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,1.050,1.22,0.86,1.2,agamemnon_gun_b_228_x2,0.9,1.04,0.86,1.38,dido_gun_cal133_x2,0.9,1.04,0.86,1.72,dido_gun_cal133_x2,0.9,1.04,0.86,1.72,yamato_gun_155_x2,0.81,0.94,0.86,1.92,,,,,,,,,,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,1.050,1.22,0.66,1.2,agamemnon_gun_b_228_x3,0.9,1.04,0.66,1.7,dido_gun_cal133_x3,0.9,1.04,0.66,1.72,dido_gun_cal133_x3,0.9,1.04,0.66,1.72,yamato_gun_155_x3,0.81,0.94,0.66,1.92,,,,,,,,,,,,,,,,,,,
gun_6_x4,,152,gun_6_x4,,,didox_gun_cal133_x4,0.9,1.04,0.6,1.72,agamemnon_gun_b_228_x4,0.9,1.04,0.6,1.7,dido_gun_cal133_x4,0.888,1,0.6,1.58,dido_gun_cal133_x4,0.888,1,0.6,1.58,yamato_gun_155_x4,0.81,0.94,0.6,1.92,,,,,,,,,,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,tsesarevich_gun_152_x1,1.225,1.395,1.21,1.18,agamemnon_gun_b_228_x1,1.05,1.19,1.21,1.36,mont_gun_152_x1,1.225,1.395,1.21,1.24,nelson_gun_152_x1,1.12,1.27,1.21,1.28,british_adv_cruiser_152_gun_x1,0.975,1.05,1.21,1.33,,,,,,,,,,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.225,1.395,0.9,1.18,agamemnon_gun_b_228_x2,1.05,1.19,0.9,1.36,mont_gun_152_x2,1.225,1.395,0.9,1.24,nelson_gun_152_x2,1.12,1.27,0.9,1.28,british_adv_cruiser_152_gun_x2,0.975,1.05,0.9,1.33,,,,,,,,,,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.225,1.395,0.705,1.18,agamemnon_gun_b_228_x3,1.05,1.19,0.705,1.64,mont_gun_152_x3,1.225,1.395,0.705,1.24,nelson_gun_152_x3,1.12,1.27,0.705,1.28,british_adv_cruiser_152_gun_x3,0.975,1.05,0.705,1.33,,,,,,,,,,,,,,,,,,,
gun_7_x4,,178,gun_7_x4,,,didox_gun_cal133_x4,1.05,1.19,0.64,1.68,agamemnon_gun_b_228_x4,1.05,1.19,0.64,1.64,mont_gun_152_x4,1.225,1.395,0.64,1.24,nelson_gun_152_x4,1.12,1.27,0.64,1.5,british_adv_cruiser_152_gun_x4,0.975,1.05,0.64,1.33,,,,,,,,,,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,friedrich_gun_228_x1,0.82,0.92,1.17,1.52,warrior_gun_228_x1,1.2,1.34,1.17,1,mont_gun_152_x1,1.4,1.57,1.17,1.2,nelson_gun_152_x1,1.28,1.43,1.17,1.24,british_adv_cruiser_152_gun_x1,1.1,1.15,1.17,1.3,,,,,,,,,,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,friedrich_gun_228_x2,0.82,0.92,0.88,1.52,warrior_gun_228_x2,1.2,1.34,0.88,1,mont_gun_152_x2,1.4,1.57,0.88,1.2,nelson_gun_152_x2,1.28,1.43,0.88,1.24,british_adv_cruiser_152_gun_x2,1.1,1.15,0.88,1.3,,,,,,,,,,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,friedrich_gun_228_x3,0.82,0.92,0.69,1.52,warrior_gun_228_x3,1.2,1.34,0.69,1,mont_gun_152_x3,1.4,1.57,0.69,1.2,nelson_gun_152_x3,1.28,1.43,0.69,1.24,british_adv_cruiser_152_gun_x3,1.1,1.15,0.69,1.3,,,,,,,,,,,,,,,,,,,
gun_8_x4,,203,gun_8_x4,,,didox_gun_cal133_x4,1.2,1.34,0.63,1.64,warrior_gun_228_x4,1.2,1.34,0.63,1,mont_gun_152_x4,1.4,1.57,0.63,1.2,nelson_gun_152_x4,1.28,1.43,0.63,1.46,british_adv_cruiser_152_gun_x4,1.1,1.15,0.63,1.3,,,,,,,,,,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,friedrich_gun_228_x1,0.9225,1.0225,1.1,1.46,warrior_gun_228_x1,1.35,1.49,1.1,0.96,mont_gun_152_x1,1.575,1.745,1.1,1.18,nelson_gun_152_x1,1.44,1.59,1.1,1.2,british_adv_cruiser_152_gun_x1,1.225,1.325,1.1,1.28,,,,,,,,,,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,friedrich_gun_228_x2,0.9225,1.0225,0.82,1.46,warrior_gun_228_x2,1.35,1.49,0.82,0.96,mont_gun_152_x2,1.575,1.745,0.82,1.18,nelson_gun_152_x2,1.44,1.59,0.82,1.2,british_adv_cruiser_152_gun_x2,1.225,1.325,0.82,1.28,,,,,,,,,,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,friedrich_gun_228_x3,0.9225,1.0225,0.64,1.46,warrior_gun_228_x3,1.35,1.49,0.64,0.96,mont_gun_152_x3,1.575,1.745,0.64,1.18,nelson_gun_152_x3,1.44,1.59,0.64,1.2,british_adv_cruiser_152_gun_x3,1.225,1.325,0.64,1.28,,,,,,,,,,,,,,,,,,,
gun_9_x4,,229,gun_9_x4,,,didox_gun_cal133_x4,1.35,1.49,0.58,1.6,warrior_gun_228_x4,1.35,1.49,0.58,0.96,mont_gun_152_x4,1.575,1.745,0.58,1.18,nelson_gun_152_x4,1.44,1.59,0.58,1.42,british_adv_cruiser_152_gun_x4,1.225,1.325,0.58,1.28,,,,,,,,,,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.9,0.98,1.2,1.5,agamemnon_gun_305_x1,1.3,1.47,1.2,1,nelson_gun_406_x1,0.75,0.82,1.2,1.08,kgeorge_gun_380_x1_c,0.91,0.985,1.2,0.88,richelieu_gun_380_x1,0.8,0.875,1.2,1.04,,,,,,,,,,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.9,0.98,0.9,1.5,agamemnon_gun_305_x2,1.3,1.47,0.9,1,nelson_gun_406_x2,0.75,0.82,0.9,1.08,kgeorge_gun_380_x2_c,0.91,0.985,0.9,0.88,richelieu_gun_380_x2,0.8,0.875,0.9,1.04,,,,,,,,,,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.9,0.98,0.68,0.83,agamemnon_gun_305_x3,1.3,1.47,0.68,1,nelson_gun_406_x3,0.75,0.82,0.68,1.08,kgeorge_gun_380_x3_c,0.91,0.985,0.68,0.88,richelieu_gun_380_x3,0.8,0.875,0.68,1.04,,,,,,,,,,,,,,,,,,,
gun_10_x4,,254,gun_10_x4,,,dido_gun_cal200_x4,0.96,1.04,0.63,1.34,agamemnon_gun_305_x4,1.3,1.47,0.63,1,nelson_gun_406_x4,0.75,0.82,0.63,1.08,kgeorge_gun_380_x4_c,0.91,0.985,0.63,0.88,richelieu_gun_380_x4,0.8,0.875,0.63,1.04,,,,,,,,,,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,0.99,1.07,1.07,1.18,agamemnon_gun_305_x1,1.475,1.495,1.07,0.78,nelson_gun_406_x1,0.825,0.895,1.07,0.86,kgeorge_gun_380_x1_c,1,1.075,1.07,0.7,richelieu_gun_380_x1,0.88,0.955,1.07,0.82,,,,,,,,,,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,0.99,1.07,0.82,1.18,agamemnon_gun_305_x2,1.475,1.495,0.82,0.78,nelson_gun_406_x2,0.825,0.895,0.82,0.86,kgeorge_gun_380_x2_c,1,1.075,0.82,0.7,richelieu_gun_380_x2,0.88,0.955,0.82,0.82,,,,,,,,,,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,0.99,1.07,0.66,0.66,agamemnon_gun_305_x3,1.475,1.495,0.66,0.78,nelson_gun_406_x3,0.825,0.895,0.66,0.86,kgeorge_gun_380_x3_c,1,1.075,0.66,0.7,richelieu_gun_380_x3,0.88,0.955,0.66,0.82,,,,,,,,,,,,,,,,,,,
gun_11_x4,,279,gun_11_x4,,,dido_gun_cal200_x4,1.05,1.13,0.61,1.06,agamemnon_gun_305_x4,1.475,1.495,0.61,0.78,nelson_gun_406_x4,0.825,0.895,0.61,0.86,kgeorge_gun_380_x4_c,1,1.075,0.61,0.7,richelieu_gun_380_x4,0.88,0.955,0.61,0.82,,,,,,,,,,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,brandenburg_gun_279_x1,1.08,1.16,1.07,1.18,agamemnon_gun_305_x1,1.5,1.62,1.07,0.82,nelson_gun_406_x1,0.9,0.97,1.07,0.86,kgeorge_gun_380_x1_c,1.09,1.165,1.07,0.7,richelieu_gun_380_x1,0.96,1.035,1.07,0.82,,,,,,,,,,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,brandenburg_gun_279_x2,1.08,1.16,0.82,1.18,agamemnon_gun_305_x2,1.5,1.62,0.82,0.82,nelson_gun_406_x2,0.9,0.97,0.82,0.86,kgeorge_gun_380_x2_c,1.09,1.165,0.82,0.7,richelieu_gun_380_x2,0.96,1.035,0.82,0.82,,,,,,,,,,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,brandenburg_gun_279_x3,1.08,1.16,0.66,0.66,agamemnon_gun_305_x3,1.5,1.62,0.66,0.82,nelson_gun_406_x3,0.9,0.97,0.66,0.86,kgeorge_gun_380_x3_c,1.09,1.165,0.66,0.7,richelieu_gun_380_x3,0.96,1.035,0.66,0.82,,,,,,,,,,,,,,,,,,,
gun_12_x4,,305,gun_12_x4,,,dido_gun_cal200_x4,1.14,1.22,0.61,1.08,agamemnon_gun_305_x4,1.5,1.62,0.61,0.82,nelson_gun_406_x4,0.9,0.97,0.61,0.86,kgeorge_gun_380_x4_c,1.09,1.165,0.61,0.7,richelieu_gun_380_x4,0.96,1.035,0.61,0.82,,,,,,,,,,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,friedrich_gun_305_x1,1.17,1.25,1.13,0.97,agamemnon_gun_305_x1,1.625,1.745,1.13,0.82,nelson_gun_406_x1,0.975,1.045,1.13,0.85,kgeorge_gun_380_x1_c,1.18,1.255,1.13,0.7,richelieu_gun_380_x1,1.04,1.115,1.13,0.82,,,,,,,,,,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,friedrich_gun_305_x2,1.17,1.25,0.88,0.97,agamemnon_gun_305_x2,1.625,1.745,0.88,0.82,nelson_gun_406_x2,0.975,1.045,0.88,0.85,kgeorge_gun_380_x2_c,1.18,1.255,0.88,0.7,richelieu_gun_380_x2,1.04,1.115,0.88,0.82,,,,,,,,,,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,friedrich_gun_305_x3,1.17,1.25,0.705,0.97,agamemnon_gun_305_x3,1.625,1.745,0.705,0.82,nelson_gun_406_x3,0.975,1.045,0.705,0.85,kgeorge_gun_380_x3_c,1.18,1.255,0.705,0.7,richelieu_gun_380_x3,1.04,1.115,0.705,0.82,,,,,,,,,,,,,,,,,,,
gun_13_x4,,330,gun_13_x4,,,dido_gun_cal200_x4,1.23,1.31,0.65,1.06,agamemnon_gun_305_x4,1.625,1.745,0.65,0.82,nelson_gun_406_x4,0.975,1.045,0.65,0.85,kgeorge_gun_380_x4_c,1.18,1.255,0.65,0.7,richelieu_gun_380_x4,1.04,1.115,0.65,0.82,,,,,,,,,,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,friedrich_gun_305_x1,1.26,1.34,1.13,0.97,agamemnon_gun_305_x1,1.75,1.87,1.13,0.82,nelson_gun_406_x1,1.05,1.12,1.13,0.85,kgeorge_gun_380_x1_c,1.27,1.345,1.13,0.7,richelieu_gun_380_x1,1.12,1.195,1.13,0.82,,,,,,,,,,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,friedrich_gun_305_x2,1.26,1.34,0.88,0.97,agamemnon_gun_305_x2,1.75,1.87,0.88,0.82,nelson_gun_406_x2,1.05,1.12,0.88,0.85,kgeorge_gun_380_x2_c,1.27,1.345,0.88,0.7,richelieu_gun_380_x2,1.12,1.195,0.88,0.82,,,,,,,,,,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,friedrich_gun_305_x3,1.26,1.34,0.705,0.97,agamemnon_gun_305_x3,1.75,1.87,0.705,0.82,nelson_gun_406_x3,1.05,1.12,0.705,0.85,kgeorge_gun_380_x3_c,1.27,1.345,0.705,0.7,richelieu_gun_380_x3,1.12,1.195,0.705,0.82,,,,,,,,,,,,,,,,,,,
gun_14_x4,,356,gun_14_x4,,,dido_gun_cal200_x4,1.32,1.4,0.66,1.06,agamemnon_gun_305_x4,1.75,1.87,0.66,0.82,nelson_gun_406_x4,1.05,1.12,0.66,0.85,kgeorge_gun_380_x4_c,1.27,1.345,0.66,0.7,richelieu_gun_380_x4,1.12,1.195,0.66,0.82,,,,,,,,,,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,vdt_gun_280_x1,1.5375,1.6375,1.14,0.84,irresistible_gun_305_x1,1.875,1.995,1.14,0.74,nelson_gun_406_x1,1.125,1.195,1.14,0.85,kgeorge_gun_380_x1_c,1.36,1.435,1.14,0.7,richelieu_gun_380_x1,1.2,1.275,1.14,0.82,,,,,,,,,,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,vdt_gun_280_x2,1.5375,1.6375,0.9,0.84,irresistible_gun_305_x2,1.875,1.995,0.9,0.74,nelson_gun_406_x2,1.125,1.195,0.9,0.85,kgeorge_gun_380_x2_c,1.36,1.435,0.9,0.7,richelieu_gun_380_x2,1.2,1.275,0.9,0.82,,,,,,,,,,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,vdt_gun_280_x3,1.5375,1.6375,0.72,0.84,irresistible_gun_305_x3,1.875,1.995,0.72,0.74,nelson_gun_406_x3,1.125,1.195,0.72,0.85,kgeorge_gun_380_x3_c,1.36,1.435,0.72,0.7,richelieu_gun_380_x3,1.2,1.275,0.72,0.82,,,,,,,,,,,,,,,,,,,
gun_15_x4,,381,gun_15_x4,,,vdt_gun_280_x4,1.5375,1.6375,0.675,0.84,irresistible_gun_305_x4,1.875,1.995,0.675,0.74,nelson_gun_406_x4,1.125,1.195,0.675,0.85,kgeorge_gun_380_x4_c,1.36,1.435,0.675,0.7,richelieu_gun_380_x4,1.2,1.275,0.675,0.82,,,,,,,,,,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,vdt_gun_280_x1,1.64,1.74,1.15,0.84,dreadnought_gun_b_305_x1,1.5,1.58,1.15,1.07,nelson_gun_406_x1,1.2,1.27,1.15,0.84,kgeorge_gun_380_x1_c,1.45,1.525,1.15,0.69,richelieu_gun_380_x1,1.28,1.355,1.15,0.8,,,,,,,,,,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,vdt_gun_280_x2,1.64,1.74,0.93,0.84,dreadnought_gun_b_305_x2,1.5,1.58,0.93,1.07,nelson_gun_406_x2,1.2,1.27,0.93,0.84,kgeorge_gun_380_x2_c,1.45,1.525,0.93,0.69,richelieu_gun_380_x2,1.28,1.355,0.93,0.8,,,,,,,,,,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,vdt_gun_280_x3,1.64,1.74,0.75,0.84,dreadnought_gun_b_305_x3,1.5,1.58,0.75,1.07,nelson_gun_406_x3,1.2,1.27,0.75,0.84,kgeorge_gun_380_x3_c,1.45,1.525,0.75,0.69,richelieu_gun_380_x3,1.28,1.355,0.75,0.8,,,,,,,,,,,,,,,,,,,
gun_16_x4,,406,gun_16_x4,,,vdt_gun_280_x4,1.64,1.74,0.68,0.84,dreadnought_gun_b_305_x4,1.5,1.58,0.68,1.07,nelson_gun_406_x4,1.2,1.27,0.68,0.84,kgeorge_gun_380_x4_c,1.45,1.525,0.68,0.69,richelieu_gun_380_x4,1.28,1.355,0.68,0.8,,,,,,,,,,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,vdt_gun_280_x1,1.7425,1.8425,1.2,0.83,dreadnought_gun_b_305_x1,1.59,1.67,1.2,1.07,nelson_gun_406_x1,1.275,1.345,1.2,0.84,kgeorge_gun_380_x1_c,1.54,1.615,1.2,0.69,richelieu_gun_380_x1,1.36,1.435,1.2,0.8,,,,,,,,,,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,vdt_gun_280_x2,1.7425,1.8425,0.95,0.83,dreadnought_gun_b_305_x2,1.59,1.67,0.95,1.07,nelson_gun_406_x2,1.275,1.345,0.95,0.84,kgeorge_gun_380_x2_c,1.54,1.615,0.95,0.69,richelieu_gun_380_x2,1.36,1.435,0.95,0.8,,,,,,,,,,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,vdt_gun_280_x3,1.7425,1.8425,0.775,0.83,dreadnought_gun_b_305_x3,1.59,1.67,0.775,1.07,nelson_gun_406_x3,1.275,1.345,0.775,0.84,kgeorge_gun_380_x3_c,1.54,1.615,0.775,0.69,richelieu_gun_380_x3,1.36,1.435,0.775,0.8,,,,,,,,,,,,,,,,,,,
gun_17_x4,,432,gun_17_x4,,,vdt_gun_280_x4,1.7425,1.8425,0.71,0.83,dreadnought_gun_b_305_x4,1.59,1.67,0.71,1.07,nelson_gun_406_x4,1.275,1.345,0.71,0.84,kgeorge_gun_380_x4_c,1.54,1.615,0.71,0.69,richelieu_gun_380_x4,1.36,1.435,0.71,0.8,,,,,,,,,,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,vdt_gun_280_x1,1.845,1.945,1.23,0.83,dreadnought_gun_b_305_x1,1.68,1.76,1.23,1.07,nelson_gun_406_x1,1.35,1.42,1.23,0.83,kgeorge_gun_380_x1_c,1.63,1.705,1.23,0.68,richelieu_gun_380_x1,1.44,1.515,1.23,0.8,,,,,,,,,,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,vdt_gun_280_x2,1.845,1.945,0.985,0.83,dreadnought_gun_b_305_x2,1.68,1.76,0.985,1.07,nelson_gun_406_x2,1.35,1.42,0.985,0.83,kgeorge_gun_380_x2_c,1.63,1.705,0.985,0.68,richelieu_gun_380_x2,1.44,1.515,0.985,0.8,,,,,,,,,,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,vdt_gun_280_x4,1.845,1.945,0.81,0.83,dreadnought_gun_b_305_x3,1.68,1.76,0.81,1.07,nelson_gun_406_x3,1.35,1.42,0.81,0.83,kgeorge_gun_380_x3_c,1.63,1.705,0.81,0.68,richelieu_gun_380_x3,1.44,1.515,0.81,0.8,,,,,,,,,,,,,,,,,,,
gun_18_x4,,457,gun_18_x4,,,vdt_gun_280_x4,1.845,1.945,0.735,0.83,dreadnought_gun_b_305_x4,1.68,1.76,0.735,1.07,nelson_gun_406_x4,1.35,1.42,0.735,0.83,kgeorge_gun_380_x4_c,1.63,1.705,0.735,0.68,richelieu_gun_380_x4,1.44,1.515,0.735,0.8,,,,,,,,,,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,dreadnought_gun_305_x1,1.77,1.85,1.16,1.07,dreadnought_gun_c_305_x1,1.77,1.85,1.16,1,nelson_gun_406_x1,1.425,1.495,1.16,0.83,kgeorge_gun_380_x1_c,1.72,1.795,1.16,0.68,richelieu_gun_380_x1,1.52,1.595,1.16,0.79,,,,,,,,,,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,dreadnought_gun_305_x2,1.77,1.85,0.95,1.07,dreadnought_gun_c_305_x2,1.77,1.85,0.95,1,nelson_gun_406_x2,1.425,1.495,0.95,0.83,kgeorge_gun_380_x2_c,1.72,1.795,0.95,0.68,richelieu_gun_380_x2,1.52,1.595,0.95,0.79,,,,,,,,,,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,dreadnought_gun_305_x3,1.77,1.85,0.78,1.07,dreadnought_gun_c_305_x3,1.77,1.85,0.78,1,nelson_gun_406_x3,1.425,1.495,0.78,0.83,kgeorge_gun_380_x3_c,1.72,1.795,0.78,0.68,richelieu_gun_380_x3,1.52,1.595,0.78,0.79,,,,,,,,,,,,,,,,,,,
