@name,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces
liaodong_peninsula,Liaodong Peninsula,yellow_sea,china,china,japan,japan,japan,japan,japan,china,1,home,4.5,45000,-1,-1,0,0,0,7,0125000002,2,"manchuria, northeast_china, northeast_korea, northwest_korea"
russian_far_east,Russian Far East,japan_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,8.5,40000,-1,1925,2,500,100,7,0125000002,2,"manchuria, siberian_russia, southern_siberia"
penghu,Penghu,east_asia,china,china,japan,japan,japan,japan,japan,china,1,colony,3,35000,-1,1925,2,300,100,7,0250000004,2,
weihaiwei,Weihaiwei,yellow_sea,china,china,britain,britain,britain,britain,china,china,0,colony,4,40000,-1,1925,2,300,100,7,0125000002,2,"kiautschou_bay, northeast_china"
argentina,Argentina,s_am_east,spain,spain,spain,spain,spain,spain,spain,spain,1,colony,9,45000,-1,1930,5,600,300,7,0299999993,2,"bolivia, chile, paraguay, south_brazil, uruguay"
falkland_islands,Falkland Islands,s_am_east,britain,britain,britain,britain,britain,britain,britain,britain,0,colony,0.200000003,30000,-1,1925,1,160,100,2.5,0125000002,2,
sgssi,SGSSI,s_am_east,britain,britain,britain,britain,britain,britain,britain,britain,0,colony,0.100000001,20000,-1,1920,0.200000003,200,500,2.5,0125000002,2,
uruguay,Uruguay,s_am_east,spain,spain,spain,spain,spain,spain,spain,uruguay,0,colony,6,4000,-1,1925,2,200,100,7,0299999993,2,"argentina, paraguay, south_brazil"
chile,Chile,s_am_west,spain,spain,spain,spain,spain,spain,spain,chile,1,colony,6,4000,-1,1925,2,200,100,7,0299999993,2,"argentina, bolivia, peru"
ecuador,Ecuador,s_am_west,spain,spain,spain,spain,spain,spain,spain,ecuador,0,colony,5.19999981,3000,-1,1917,5,300,400,7,0125000002,2,"peru, southern_colombia"
galápagos_islands,Galápagos Islands,s_am_west,spain,spain,spain,spain,spain,spain,spain,ecuador,0,colony,0.100000001,3000,-1,-1,0,0,0,2.5,0125000002,2,
peru,Peru,s_am_west,spain,spain,spain,spain,spain,spain,spain,peru,0,colony,6,3000,-1,1890,100,140,400,7,0125000002,2,"bolivia, chile, ecuador, north_brazil, south_brazil"
southern_colombia,Southern Colombia,s_am_west,spain,spain,spain,spain,spain,spain,spain,colombia,0,colony,6,15000,-1,1916,5,400,400,7,0125000002,2,"ecuador, north_brazil, northern_colombia, venezuela"
cook_islands,Cook Islands,s_pacific,britain,britain,britain,britain,britain,britain,britain,cook_islands,0,colony,0.5,10000,-1,-1,0,0,0,2.5,0125000002,2,
eastern__samoa,Eastern  Samoa,s_pacific,usa,usa,usa,usa,usa,usa,usa,samoa,0,colony,0.699999988,5000,-1,-1,0,0,0,2.5,0125000002,2,
marquesas_islands,Marquesas Islands,s_pacific,france,france,france,france,france,france,france,marquesas_islands,0,colony,0.100000001,3000,-1,-1,0,0,0,2.5,0125000002,2,
french_polynesia,French Polynesia,s_pacific,france,france,france,france,france,france,france,french_polynesia,0,colony,1.75,3000,-1,-1,0,0,0,2.5,0125000002,2,
easter_island,Easter Island,s_pacific,spain,spain,spain,spain,spain,spain,spain,chile,0,colony,0.100000001,6000,-1,-1,0,0,0,2.5,0125000002,2,
pitcairn_islands,Pitcairn Islands,s_pacific,britain,britain,britain,britain,britain,britain,britain,pitcairn_islands,0,colony,1,6000,-1,-1,0,0,0,2.5,0125000002,2,
eastern_gilbert_&_ellice_islands,Eastern Gilbert & Ellice Islands,s_pacific,britain,britain,britain,britain,britain,britain,britain,kiribati,0,colony,1,5000,-1,-1,0,0,0,2.5,0125000002,2,
western_samoa,Western Samoa,s_pacific,germany,germany,germany,germany,britain,britain,britain,samoa,0,colony,0.300000012,5000,-1,-1,0,0,0,2.5,0125000002,2,
fiji,Fiji,s_pacific,britain,britain,britain,britain,britain,britain,britain,fiji,0,colony,1.79999995,15000,-1,-1,0,0,0,2.5,0125000002,2,
marshall_islands,Marshall Islands,s_pacific,germany,germany,germany,germany,japan,japan,japan,marshall_islands,0,colony,1,15000,-1,1925,1,100,100,2.5,0125000002,2,
western_gilbert_&_ellice_islands,Western Gilbert & Ellice Islands,s_pacific,britain,britain,britain,britain,britain,britain,britain,kiribati,0,colony,1,15000,-1,-1,0,0,0,2.5,0125000002,2,
new_caledonia,New Caledonia,s_pacific,france,france,france,france,france,france,france,new_caledonia,0,colony,2.70000005,10000,-1,1925,1,100,100,2.5,0125000002,2,
vanuatu,Vanuatu,s_pacific,britain,britain,britain,britain,britain,britain,britain,vanuatu,0,colony,1,13000,-1,-1,0,0,0,2.5,0125000002,2,
annam,Annam,se_asia,france,france,france,france,france,france,france,north_vietnam,0,colony,7,26000,-1,1925,2,300,200,2.5,0125000002,2,"cambodia, cochinchina, laos, tonkin"
borneo,Borneo,indonesian_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,borneo,0,colony,5,2000,-1,1930,5,900,500,2.5,0125000002,2,"brunei, north_borneo, sarawak"
north_borneo,North Borneo,se_asia,britain,britain,britain,britain,britain,britain,britain,malaysia,0,colony,3,1500,-1,1925,10,600,500,2.5,0125000002,2,"borneo, brunei, sarawak"
sarawak,Sarawak,se_asia,britain,britain,britain,britain,britain,britain,britain,malaysia,0,colony,3,1000,-1,1908,10,600,500,2.5,0125000002,2,"borneo, brunei, north_borneo"
brunei,Brunei,se_asia,britain,britain,britain,britain,britain,britain,britain,brunei,0,colony,2.70000005,1000,-1,1897,10,600,500,2.5,0125000002,2,"borneo, north_borneo, sarawak"
cochinchina,Cochinchina,se_asia,france,france,france,france,france,france,france,south_vietnam,0,colony,6,45000,-1,1925,2,400,200,2.5,0125000002,2,"annam, cambodia"
formosa,Formosa,east_asia,china,china,japan,japan,japan,japan,japan,taiwan,0,colony,7,17000,-1,-1,0,0,0,2.5,0125000002,2,
hong_kong,Hong Kong,se_asia,britain,britain,britain,britain,britain,britain,britain,china,0,colony,4,60000,-1,-1,0,0,0,2.5,0125000002,2,southern_china
sulawesi,Sulawesi,indonesian_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,indonesia,0,colony,4,30000,-1,1895,10,400,500,2.5,0125000002,2,
moluccas,Moluccas,indonesian_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,indonesia,0,colony,3,20000,-1,1925,2,200,100,2.5,0125000002,2,
java,Java,indonesian_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,indonesia,0,colony,7.5,35000,-1,1890,100,500,500,2.5,0125000002,2,
kwang-chou-wan,Kwang-Chou-Wan,se_asia,france,france,france,france,france,france,france,china,1,colony,5,15000,-1,-1,0,0,0,2.5,0125000002,2,southern_china
malaya,Malaya,se_asia,britain,britain,britain,britain,britain,britain,britain,malaysia,0,colony,5,15000,-1,1908,10,300,500,7,0125000002,2,"burma, singapore, thailand"
singapore,Singapore,se_asia,britain,britain,britain,britain,britain,britain,britain,singapore,0,colony,3.5,25000,-1,-1,0,0,0,2.5,0125000002,2,malaya
sumatra,Sumatra,se_asia,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,sumatra,0,colony,6,5000,-1,1895,10,500,500,4,0125000002,2,
thailand,Thailand,se_asia,france,france,france,france,france,france,france,thailand,0,colony,9,15000,-1,-1,0,0,0,7,0125000002,2,"burma, cambodia, laos, malaya"
cambodia,Cambodia,se_asia,france,france,france,france,france,france,france,cambodia,0,colony,4.5,15000,-1,1925,1,200,100,7,0125000002,2,"annam, cochinchina, thailand"
tonga,Tonga,s_pacific,britain,britain,britain,britain,britain,britain,britain,tonga,0,colony,0.800000012,10000,-1,1925,1,200,100,7,0125000002,2,
tonkin,Tonkin,se_asia,france,france,france,france,france,france,france,north_vietnam,0,colony,3.70000005,10000,-1,1925,1,200,100,7,0125000002,2,"annam, laos, southern_china"
gulf_coast,Gulf Coast,mex_coast,usa,usa,usa,usa,usa,usa,usa,usa,1,home,12,100000,-1,1900,10,1750,1000,7,0125000002,2,"central_usa, northeast_mexico, southeastern_seaboard, western_mexico, western_usa"
dutch_antilles,Dutch Antilles,caribbean,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,antilles,0,colony,3,15000,-1,-1,0,0,0,2.5,0125000002,2,
french_antilles,French Antilles,caribbean,france,france,france,france,france,france,france,antilles,0,colony,4,15000,-1,-1,0,0,0,7,0125000002,2,
cayman_islands,Cayman Islands,caribbean,britain,britain,britain,britain,britain,britain,britain,jamaica,0,colony,0.200000003,10000,-1,-1,0,0,0,7,0125000002,2,
costa_rica,Costa Rica,caribbean,spain,spain,spain,spain,spain,spain,spain,costa_rica,0,colony,5,25000,-1,-1,0,0,0,7,0125000002,2,"nicaragua, panama"
cuba,Cuba,caribbean,spain,spain,spain,spain,spain,spain,spain,cuba,0,colony,10,75000,-1,-1,0,0,0,7,0125000002,2,guantanamo
dominican_republic,Dominican Republic,caribbean,spain,spain,spain,spain,spain,spain,spain,dominican_republic,0,colony,6,15000,-1,-1,0,0,0,7,0125000002,2,haiti
grand_bahama,Grand Bahama,caribbean,britain,britain,britain,britain,britain,britain,britain,grand_bahama,0,colony,5,15000,-1,-1,0,0,0,7,0125000002,2,
guantanamo,Guantanamo,caribbean,spain,spain,usa,usa,usa,usa,usa,cuba,0,colony,0.100000001,25000,-1,-1,0,0,0,7,0125000002,2,"cuba, "
british_guiana,British Guiana,caribbean,britain,britain,britain,britain,britain,britain,britain,guyana,0,colony,4,3000,-1,-1,0,0,0,7,0125000002,2,"north_brazil, suriname, venezuela"
haiti,Haiti,caribbean,spain,spain,spain,spain,spain,spain,spain,haiti,0,colony,4,3000,-1,-1,0,0,0,7,0125000002,2,dominican_republic
honduras,Honduras,caribbean,spain,spain,spain,spain,spain,spain,spain,honduras,0,colony,3.5,3000,-1,-1,0,0,0,7,0125000002,2,"british_honduras, el_salvador, nicaragua"
jamaica,Jamaica,caribbean,britain,britain,britain,britain,britain,britain,britain,jamaica,0,colony,5,7000,-1,-1,0,0,0,7,0125000002,2,
new_providence,New Providence,caribbean,britain,britain,britain,britain,britain,britain,britain,new_providence,0,colony,4,4000,-1,-1,0,0,0,7,0125000002,2,
nicaragua,Nicaragua,caribbean,spain,spain,spain,spain,spain,spain,spain,nicaragua,0,colony,4,4000,-1,-1,0,0,0,7,0125000002,2,"costa_rica, honduras"
northern_colombia,Northern Colombia,caribbean,spain,spain,spain,spain,spain,spain,spain,colombia,0,colony,10,22000,-1,1916,5,700,400,7,0125000002,2,"panama, southern_colombia, venezuela"
panama,Panama,caribbean,usa,usa,usa,usa,usa,usa,usa,panama,0,colony,3,30000,-1,-1,0,0,0,2.5,0125000002,2,"costa_rica, northern_colombia"
puerto_rico,Puerto Rico,caribbean,spain,spain,usa,usa,usa,usa,usa,puerto_rico,0,colony,6,25000,-1,-1,0,0,0,2.5,0125000002,2,
british_antilles,British Antilles,caribbean,britain,britain,britain,britain,britain,britain,britain,antilles,0,colony,2.20000005,10000,-1,-1,0,0,0,7,0125000002,2,
trinidad,Trinidad,caribbean,britain,britain,britain,britain,britain,britain,britain,trinidad,0,colony,3.5,18000,-1,-1,0,0,0,7,0125000002,2,
venezuela,Venezuela,caribbean,spain,spain,spain,spain,spain,spain,spain,venezuela,0,colony,7,40000,-1,1912,5,4500,500,7,0125000002,2,"british_guiana, north_brazil, northern_colombia, southern_colombia"
virgin_islands,Virgin Islands,caribbean,scandinavia,scandinavia,scandinavia,usa,usa,usa,usa,virgin_islands,0,colony,3,20000,-1,-1,0,0,0,2.5,0125000002,2,
turks_&_caicos_islands,Turks & Caicos Islands,caribbean,britain,britain,britain,britain,britain,britain,britain,caicos,0,colony,1.75,6000,-1,-1,0,0,0,2.5,0125000002,2,
french_guiana,French Guiana,caribbean,france,france,france,france,france,france,france,french_guiana,0,colony,3,20000,-1,-1,0,0,0,2.5,0125000002,2,"north_brazil, suriname"
suriname,Suriname,caribbean,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,suriname,0,colony,4,1000,-1,-1,0,0,0,2.5,0125000002,2,"british_guiana, french_guiana, north_brazil"
angola,Angola,w_africa,portugal,portugal,portugal,portugal,portugal,portugal,portugal,angola,0,colony,5,15000,-1,1930,9,0,120,7,00449999981,2,"congo_free_state, middle_congo, northern_rhodesia, southwest_africa"
southwest_africa,Southwest Africa,s_atlantic,germany,germany,germany,germany,britain,britain,britain,namibia,0,colony,5,20000,-1,-1,0,0,0,7,0125000002,2,"angola, bechuanaland, south_africa"
south_africa,South Africa,s_atlantic,britain,britain,britain,britain,britain,britain,britain,south_africa,0,colony,6,15000,-1,-1,0,0,0,7,0125000002,2,"basutoland, bechuanaland, mozambique, orange_free_state, southern_rhodesia, southwest_africa, swaziland, transvaal"
cameroon,Cameroon,w_africa,germany,germany,germany,germany,france,france,france,cameroon,0,colony,4,25000,-1,1930,4,175,75,7,0125000002,2,"central_african_republic, chad, congo_free_state, equatorial_guinea, middle_congo, nigeria"
congo_free_state,Congo Free State,w_africa,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,zaire,0,colony,6.69999981,5000,-1,-1,0,0,0,7,0013,2,"angola, burundi, cameroon, central_african_republic, chad, gabon, middle_congo, northern_rhodesia, portuguese_congo, rwanda, south_sudan, tanganyika, uganda"
dahomey,Dahomey,w_africa,france,france,france,france,france,france,france,dahomey,0,colony,4,7000,-1,-1,0,0,0,7,0125000002,2,"niger, nigeria, togoland, upper_volta"
gabon,Gabon,w_africa,france,france,france,france,france,france,france,gabon,0,colony,3.70000005,4000,-1,-1,0,0,0,7,0125000002,2,"congo_free_state, equatorial_guinea, middle_congo"
gambia,Gambia,c_atlantic,britain,britain,britain,britain,britain,britain,britain,gambia,0,colony,3,6000,-1,-1,0,0,0,7,0125000002,2,"french_guinea, senegal"
gold_coast,Gold Coast,w_africa,britain,britain,britain,britain,britain,britain,britain,ghana,0,colony,5.80000019,12000,-1,-1,0,0,0,7,0125000002,2,"ivory_coast, togoland, upper_volta"
equatorial_guinea,Equatorial Guinea,w_africa,spain,spain,spain,spain,spain,spain,spain,equatorial_guinea,0,colony,4,6000,-1,-1,0,0,0,7,0125000002,2,"cameroon, gabon"
portuguese_guinea,Portuguese Guinea,c_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,guinea_bissau,0,colony,5,12000,-1,-1,0,0,0,7,0125000002,2,"french_guinea, senegal"
french_guinea,French Guinea,c_atlantic,france,france,france,france,france,france,france,cayenne,0,colony,5.9000001,14000,-1,-1,0,0,0,7,0125000002,2,"french_sudan, gambia, ivory_coast, liberia, portuguese_guinea, senegal, sierra_leone, upper_volta"
ivory_coast,Ivory Coast,w_africa,france,france,france,france,france,france,france,ivory_coast,0,colony,6,17000,-1,1930,4,175,75,7,0125000002,2,"french_guinea, french_sudan, gold_coast, liberia, upper_volta"
liberia,Liberia,c_atlantic,usa,usa,usa,usa,usa,usa,usa,liberia,0,colony,4,3000,-1,1930,4,175,75,7,0125000002,2,"french_guinea, ivory_coast, sierra_leone"
mauritania,Mauritania,c_atlantic,france,france,france,france,france,france,france,mauritania,0,colony,2,15000,-1,-1,0,0,0,7,0125000002,2,"french_sudan, senegal, southern_algeria, western_sahara"
middle_congo,Middle Congo,w_africa,france,france,france,france,france,france,france,congo,0,colony,4,12000,-1,-1,0,0,0,7,0125000002,2,"angola, cameroon, central_african_republic, congo_free_state, gabon, portuguese_congo"
nigeria,Nigeria,w_africa,britain,britain,britain,britain,britain,britain,britain,nigeria,0,colony,7,36000,-1,1927,5,1550,1500,7,0125000002,2,"cameroon, chad, dahomey, niger"
